,House,Set,Rarity,Type,Score,E,A,C,F,D,B,BigA,Clear,HardR,KC,Weight,Tokens,2,3,4,5,,2 Net,x̅,3 Net,x̅,4 Net,x̅,5 Net,x̅
Memory Chip,Logos,WC,U,Artifact,4,,,,1,,,,,,,2,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Mini Groupthink Tank,Logos,WC,U,Creature,2,,,1,,,1,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Positron Bolt,Logos,WC,U,Action,3,1,,1,,,,,,,,1.5,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Quantum Fingertrap,Logos,WC,U,Artifact,1,1,,,,,,,,,,0.5,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Reassembling Automaton,Logos,WC,U,Creature,4,,,,,,1,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Remote Access,Logos,WC,U,Action,2,1,,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Seismo-entangler,Logos,WC,U,Artifact,2,,,,,,,,,,,1,,1,2,-2,-2,,5,2.5,9,3.0,9,2.25,9,1.8
Academy Training,Logos,WC,R,Upgrade,2,1,,,1,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Chaos Portal,Logos,WC,R,Artifact,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Crazy Killing Machine,Logos,WC,R,Artifact,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Dysania,Logos,WC,R,Creature,5,1,,,,1,1,,,,,1.25,,0,-3,-3,-3,,10,5,12,4.0,14,3.5,16,3.2
Entropic Swirl,Logos,WC,R,Action,3,1,,1,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Fetchdrones,Logos,WC,R,Artifact,2,,1,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Hyde/Velum,Logos,WC,R,Creature,2,,,,1,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Knowledge is Power,Logos,WC,R,Action,3,,,,1,,,,,,,0.75,,1,2,3,3,,7,3.5,12,4.0,18,4.5,24,4.8
Master the Theory,Logos,WC,R,Action,1,1,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Mimic Gel,Logos,WC,R,Creature,5,,,,,,1,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Neutron Shark,Logos,WC,R,Creature,6,,,1,,,,,,1,,1.5,,0,-2,-2,-2,,12,6,16,5.3,20,5,24,4.8
Pocket Universe,Logos,WC,R,Artifact,1,,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Prescriptive Grammarbot,Logos,WC,R,Creature,2,,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Replicator,Logos,WC,R,Creature,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Scientifical Hack,Logos,WC,R,Artifact,1,1,,,,,,,,,,0.25,,-2,-2,-2,-2,,0,0,-1,-0.3,-2,-0.5,-3,-0.6
Self-Bolstering Automata,Logos,WC,R,Creature,4,,,,,,1,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Strange Gizmo,Logos,WC,R,Artifact,3,,,1,,,,,,,,0.75,,-2,-3,-3,-3,,4,2,4,1.3,4,1,4,0.8
Universal Keylock,Logos,WC,R,Artifact,2,1,1,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Universal Recycle Bin,Logos,WC,R,Artifact,3,1,,,1,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Zenzizenzizenzic,Logos,WC,R,Creature,5,,,,1,,1,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
,Saurian,WC,,,,21,10,11,3,3,24,0,2,0,2,83.40,,,,,,,,,,,,,,
Axiom of Grisk,Saurian,WC,C,Action,4,,,1,,,,,1,,,4,,-1,-2,-3,-4,,7,3.5,9,3.0,10,2.5,10,2
Brutodon Auxiliary,Saurian,WC,C,Creature,3,,,,,,1,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Chant of Hubris,Saurian,WC,C,Action,2,1,,,,,,,,,,2,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
Imperial Scutum,Saurian,WC,C,Upgrade,3,1,1,,,,,,,,,3,,0,0,-1,-2,,6,3,9,3.0,11,2.75,12,2.4
Imperium,Saurian,WC,C,Action,3,1,,,,,,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Legatus Raptor,Saurian,WC,C,Creature,2,,,1,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Odoac the Patrician,Saurian,WC,C,Creature,3,,1,,,1,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Phalanx Strike,Saurian,WC,C,Action,3,1,,1,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Praefectus Ludo,Saurian,WC,C,Creature,5,,,,,1,1,,,,,5,,1,1,0,0,,11,5.5,17,5.7,22,5.5,27,5.4
Questor Jarta,Saurian,WC,C,Creature,2,1,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Rhetor Gallim,Saurian,WC,C,Creature,3,,1,,,,,,,,,3,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
Senator Shrix,Saurian,WC,C,Creature,2,,,,,,1,,,,,2,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
The Golden Spiral,Saurian,WC,C,Artifact,3,1,,,,,,,,,,3,,0,0,-1,-2,,6,3,9,3.0,11,2.75,12,2.4
Thero Centurion,Saurian,WC,C,Creature,3,,1,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Tribute,Saurian,WC,C,Action,4,1,1,,,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Tricerian Legionary,Saurian,WC,C,Creature,3,,,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Ancient Power,Saurian,WC,U,Action,4,,,,,,,,,,,2,,-1,-2,-3,-3,,7,3.5,9,3.0,10,2.5,11,2.2
Centurion Stenopius,Saurian,WC,U,Creature,2,,,,,,1,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
City-State Interest,Saurian,WC,U,Action,4,,1,,,,,,,,,2,,0,-1,-3,-3,,8,4,11,3.7,12,3,13,2.6
Draco Praeco,Saurian,WC,U,Creature,2,,,,,,1,,,,,1,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Exile,Saurian,WC,U,Action,4,1,1,,,,,,,,,2,,0,-2,-3,-3,,8,4,10,3.3,11,2.75,12,2.4
Gargantodon,Saurian,WC,U,Creature,2,,,,,1,1,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Library of Polliasaurus,Saurian,WC,U,Artifact,2,1,,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Orator Hissaro,Saurian,WC,U,Creature,3,1,,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Paraguardian,Saurian,WC,U,Creature,2,,,,,,1,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Philophosaurus,Saurian,WC,U,Creature,5,,,,1,,1,,,,,2.5,,1,1,1,1,,11,5.5,17,5.7,23,5.75,29,5.8
Regrettable Meteor,Saurian,WC,U,Action,2,1,,1,,,,,,,,1,,-1,-2,-3,-3,,3,1.5,3,1.0,2,0.5,1,0.2
Sic Semper Tyrannosaurus,Saurian,WC,U,Action,5,,1,,,,,,,,,2.5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Stomp,Saurian,WC,U,Action,2,1,,1,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Terrordactyl,Saurian,WC,U,Creature,2,,,1,,,1,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
The Callipygian Ideal,Saurian,WC,U,Upgrade,2,1,,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Tribune Pompitus,Saurian,WC,U,Creature,3,,,,,,1,,,,,1.5,,1,2,3,3,,7,3.5,12,4.0,18,4.5,24,4.8
Auto-Legionary,Saurian,WC,R,Artifact,2,,,,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Cincinnatus Rex,Saurian,WC,R,Creature,4,1,,1,,,1,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
City Gates,Saurian,WC,R,Artifact,3,,1,,,,,,,,,0.75,,0,-2,-2,-2,,6,3,7,2.3,8,2,9,1.8
Crassosaurus,Saurian,WC,R,Creature,2,,1,,,,1,,,,,0.5,,-2,-3,-3,-3,,2,1,1,0.3,0,0,-1,-0.2
Diplo-Macy,Saurian,WC,R,Action,1,1,,,,,,,,,,0.25,,-2,-4,-4,-4,,0,0,-3,-1.0,-6,-1.5,-9,-1.8
Favor of Rex,Saurian,WC,R,Action,4,1,,,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Good of the Many,Saurian,WC,R,Action,3,,,1,,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Grimlocus Dux,Saurian,WC,R,Creature,2,,,,,,1,,,,,0.5,,0,-2,-2,-2,,4,2,4,1.3,4,1,4,0.8
Imperial Forge,Saurian,WC,R,Action,3,1,,,,,,,,,1,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Imperial Road,Saurian,WC,R,Artifact,3,,,,1,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Kompsos Haruspex,Saurian,WC,R,Creature,4,,,,,,1,,,,,1,,0,-2,-2,-2,,8,4,10,3.3,12,3,14,2.8
Livia the Elder,Saurian,WC,R,Creature,2,,,,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Primus Unguis,Saurian,WC,R,Creature,3,,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Saurus Rex,Saurian,WC,R,Creature,4,,,,1,,1,,,,,1,,-1,-2,-2,-2,,7,3.5,9,3.0,11,2.75,13,2.6
Saury About That,Saurian,WC,R,Action,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Senator Bracchus,Saurian,WC,R,Creature,3,,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Sow Salt,Saurian,WC,R,Action,1,1,,,,,,,,,,0.25,,-2,-3,-3,-3,,0,0,-2,-0.7,-4,-1,-6,-1.2
Spartasaur,Saurian,WC,R,Creature,5,1,,1,,,1,,1,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Tertiate,Saurian,WC,R,Action,3,1,,1,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
The Colosseum,Saurian,WC,R,Artifact,1,,,,,,,,,,,0.25,,-2,-3,-3,-3,,0,0,-2,-0.7,-4,-1,-6,-1.2
Triumph,Saurian,WC,R,Action,1,1,,,,,,,,,1,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
,Shadows,WC,,,,23,15,14,1,0,4,1,0,1,0,73.75,,,,,,,,,,,,,,
A. Vinda,Shadows,WC,C,Creature,2,,,1,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Bad Penny,Shadows,WC,C,Creature,1,,,,,,,,,,,1,,-2,-3,-4,-5,,0,0,-2,-0.7,-5,-1.25,-9,-1.8
Breaker Hill,Shadows,WC,C,Creature,1,,1,,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Hit and Run,Shadows,WC,C,Action,3,,,1,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Hock,Shadows,WC,C,Action,5,1,,,,,,,,1,,5,,0,-1,-3,-4,,10,5,14,4.7,16,4,17,3.4
Hugger-Mugger,Shadows,WC,C,Creature,2,,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Inky Gloom,Shadows,WC,C,Action,2,,,,,,,,,,,2,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
J. Vinda,Shadows,WC,C,Creature,2,,1,1,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Kymoor Eclipse,Shadows,WC,C,Action,2,,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Mug,Shadows,WC,C,Action,3,,,1,,,,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Pestering Blow,Shadows,WC,C,Action,2,,,1,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Ronnie Wristclocks,Shadows,WC,C,Creature,6,1,1,,,,,,,,,6,,1,2,1,0,,13,6.5,21,7.0,28,7,34,6.8
Symon,Shadows,WC,C,Creature,1,,,,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Trust No One,Shadows,WC,C,Action,2,1,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Umbra,Shadows,WC,C,Creature,2,,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Yantzee Gang,Shadows,WC,C,Creature,3,,1,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Brend the Fanatic,Shadows,WC,U,Creature,4,,1,,,,1,,,,,2,,0,-1,-4,-4,,8,4,11,3.7,11,2.75,11,2.2
Chain Gang,Shadows,WC,U,Creature,3,,1,,,,,,,,,1.5,,1,2,3,3,,7,3.5,12,4.0,18,4.5,24,4.8
Duskrunner,Shadows,WC,U,Upgrade,3,1,1,,,,,,,,,1.5,,-1,-2,-3,-3,,5,2.5,6,2.0,6,1.5,6,1.2
Fidgit,Shadows,WC,U,Creature,2,,,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Hidden Stash,Shadows,WC,U,Action,4,1,,,1,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Into the Night,Shadows,WC,U,Action,0,,,,,,,,,,,0,,-1,-2,-3,-4,,-1,-0.5,-3,-1.0,-6,-1.5,-10,-2
No Safety in Numbers,Shadows,WC,U,Action,4,1,,1,,,,,,,,2,,0,0,-1,-1,,8,4,12,4.0,15,3.75,18,3.6
Oubliette,Shadows,WC,U,Action,3,,,1,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Plant,Shadows,WC,U,Creature,2,1,,,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Skeleton Key,Shadows,WC,U,Artifact,2,,1,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Special Delivery,Shadows,WC,U,Artifact,3,1,,1,,,,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Spike Trap,Shadows,WC,U,Artifact,3,1,,1,,,,,,,,1.5,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Subtle Chain,Shadows,WC,U,Action,2,1,,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Subtle Maul,Shadows,WC,U,Artifact,2,,,,,,,,,,,1,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Too Much to Protect,Shadows,WC,U,Action,6,1,1,,,,,1,,,,3,,0,-2,-4,-4,,12,6,16,5.3,18,4.5,20,4
Whisper,Shadows,WC,U,Creature,2,,,1,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Customs Office,Shadows,WC,R,Artifact,2,,,,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Finch Cloak,Shadows,WC,R,Creature,3,1,1,,,,1,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Gambling Den,Shadows,WC,R,Artifact,2,1,,,,,,,,,,0.5,,2,2,2,2,,6,3,10,3.3,14,3.5,18,3.6
Hunter or Hunted?,Shadows,WC,R,Action,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Key of Darkness,Shadows,WC,R,Action,0,,,,,,,,,,,0,,0,0,0,0,,0,0,0,0.0,0,0,0,0
Keyforgery,Shadows,WC,R,Artifact,3,1,1,,,,,,,,,0.75,,1,2,2,2,,7,3.5,12,4.0,17,4.25,22,4.4
Lethal Distraction,Shadows,WC,R,Action,1,1,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Longfused Mines,Shadows,WC,R,Artifact,4,1,,1,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Mack the Knife,Shadows,WC,R,Creature,5,1,,1,,,,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Manchego,Shadows,WC,R,Creature,2,,,,,,,,,,,0.5,,1,2,2,2,,5,2.5,9,3.0,13,3.25,17,3.4
Rigged Lottery,Shadows,WC,R,Action,3,1,,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Ring of Invisibility,Shadows,WC,R,Upgrade,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sack of Coins,Shadows,WC,R,Action,4,1,,1,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Scowly Caper,Shadows,WC,R,Creature,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Selwyn the Fence,Shadows,WC,R,Creature,2,,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Sneklifter,Shadows,WC,R,Creature,5,,,,,,,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
The Quiet Anvil,Shadows,WC,R,Artifact,1,1,,,,,,,,,,0.25,,-2,-4,-4,-4,,0,0,-3,-1.0,-6,-1.5,-9,-1.8
The Shadow Council,Shadows,WC,R,Creature,3,,1,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Treasure Map,Shadows,WC,R,Action,2,1,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Weasand,Shadows,WC,R,Creature,1,,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
,StarAlliance,WC,,,,24,7,8,11,2,10,0,1,2,0,83.15,,,,,,,,,,,,,,
Armsmaster Molina,StarAlliance,WC,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Chief Engineer Walls,StarAlliance,WC,C,Creature,2,1,,,1,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Cloaking Dongle,StarAlliance,WC,C,Upgrade,2,1,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Com. Officer Kirby,StarAlliance,WC,C,Creature,5,,,,1,,,,,,,5,,0,-1,-1,-2,,10,5,14,4.7,18,4.5,21,4.2
Commander Chan,StarAlliance,WC,C,Creature,3,,,,,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Explo-rover,StarAlliance,WC,C,Creature,2,,,,,,,,,,,2,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
First Officer Frane,StarAlliance,WC,C,Creature,3,,1,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Lieutenant Khrkhar,StarAlliance,WC,C,Creature,3,,,,,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Light of the Archons,StarAlliance,WC,C,Upgrade,3,1,,,,,,,,,,3,,1,1,0,-1,,7,3.5,11,3.7,14,3.5,16,3.2
Medic Ingram,StarAlliance,WC,C,Creature,4,,,,,,1,,,,,4,,0,0,-1,-1,,8,4,12,4.0,15,3.75,18,3.6
Blaster,StarAlliance,WC,C,Upgrade,3,1,1,1,1,,,,,,,3,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
Red Alert,Star Alliance,WC,C,Action,3,,,1,,,,,,,,3,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
Sci. Officer Qincan,StarAlliance,WC,C,Creature,2,,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Sensor Chief Garcia,StarAlliance,WC,C,Creature,3,,1,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Stealth Mode,StarAlliance,WC,C,Action,6,1,,,,1,,,,,,6,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Zap,StarAlliance,WC,C,Action,3,1,,1,,,,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
CALV-1N,StarAlliance,WC,U,Creature,2,,,,1,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
CXO Taber,StarAlliance,WC,U,Creature,3,,,,1,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Force Field,StarAlliance,WC,U,Upgrade,2,1,,,,,,,,,,1,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Helmsman Spears,StarAlliance,WC,U,Creature,2,,,,1,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Information Officer Gray,StarAlliance,WC,U,Creature,5,,,,1,,1,,,,,2.5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Lay of the Land,StarAlliance,WC,U,Action,5,1,,,1,,,,,,,2.5,,1,1,1,1,,11,5.5,17,5.7,23,5.75,29,5.8
Navigator Ali,StarAlliance,WC,U,Creature,1,,,,,,,,,,,0.5,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Nurse Soto,StarAlliance,WC,U,Creature,1,,,,,,,,,,,0.5,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Quadracorder,StarAlliance,WC,U,Upgrade,4,,1,,,,,,,,,2,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Quintrino Flux,StarAlliance,WC,U,Action,4,,,1,,,,,,,,2,,0,-1,-2,-2,,8,4,11,3.7,13,3.25,15,3
Sci. Officer Morpheus,StarAlliance,WC,U,Creature,3,,,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Stunner,StarAlliance,WC,U,Upgrade,2,1,,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Tactical Officer Moon,StarAlliance,WC,U,Creature,2,,,,,,1,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Transporter Platform,StarAlliance,WC,U,Artifact,4,1,,,,,,,,,,2,,0,-1,-2,-2,,8,4,11,3.7,13,3.25,15,3
Universal Translator,StarAlliance,WC,U,Upgrade,3,1,,,,,,,,,,1.5,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Xenotraining,StarAlliance,WC,U,Action,2,1,1,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
AEmbertracker,StarAlliance,WC,R,Creature,2,,,1,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Book of leQ,StarAlliance,WC,R,Artifact,2,1,,,1,,,,,,,0.5,,-2,-4,-4,-4,,2,1,0,0.0,-2,-0.5,-4,-0.8
Captain Val Jericho,StarAlliance,WC,R,Creature,6,1,,,1,,1,,,,,1.5,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Crash Muldoon,StarAlliance,WC,R,Creature,3,1,,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Disruption Field,StarAlliance,WC,R,Upgrade,2,1,1,,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Doctor Driscoll,StarAlliance,WC,R,Creature,2,,,,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Encounter Suit,StarAlliance,WC,R,Upgrade,5,,,,,,,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Forging an Alliance,StarAlliance,WC,R,Action,1,1,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Galactic Census,StarAlliance,WC,R,Action,3,1,,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
General Order 24,StarAlliance,WC,R,Artifact,4,,,1,,,,,1,,,1,,-1,-2,-2,-2,,7,3.5,9,3.0,11,2.75,13,2.6
Operations Officer Yshi,StarAlliance,WC,R,Creature,3,,1,,,,1,,,,,0.75,,-1,-1,-1,-1,,5,2.5,7,2.3,9,2.25,11,2.2
Peace Accord,StarAlliance,WC,R,Artifact,2,1,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Plasma Nozzle,StarAlliance,WC,R,Upgrade,2,1,,1,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Psionic Officer Lang,StarAlliance,WC,R,Creature,2,,,,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Quixxle Stone,StarAlliance,WC,R,Artifact,1,1,,1,,1,,,,,,0.25,,0,-4,-4,-4,,2,1,-1,-0.3,-4,-1,-7,-1.4
"Special Agent ""Fingers""",StarAlliance,WC,R,Creature,1,,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Tachyon Pulse,StarAlliance,WC,R,Action,5,1,,,,,,,,1,,1.25,,-1,-3,-3,-3,,9,4.5,11,3.7,13,3.25,15,3
Techivore Pulpate,StarAlliance,WC,R,Creature,2,,,,,,1,,,1,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Uncharted Lands,StarAlliance,WC,R,Artifact,2,1,,,,,,,,,,0.5,,0,-2,-2,-2,,4,2,4,1.3,4,1,4,0.8
United Action,StarAlliance,WC,R,Action,2,,,,1,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
We Can ALL Win,StarAlliance,WC,R,Action,1,1,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
,Untamed,WC,,,,25,3,13,4,3,14,0,1,1,1,72.50,,,,,,,,,,,,,,
Bramble Lynx,Untamed,WC,C,Creature,2,1,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Cauldron Boil,Untamed,WC,C,Action,2,1,,1,,,,,,,,2,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Deepwood Druid,Untamed,WC,C,Creature,1,,,,,,,,,,,1,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Ghosthawk,Untamed,WC,C,Creature,4,1,,,,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Harmonia,Untamed,WC,C,Creature,2,1,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Imprinted Murmook,Untamed,WC,C,Creature,3,1,,,,,,,,,,3,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
Key Charge,Untamed,WC,C,Action,3,,,,,,,,,,1,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
